ID	NAME				TEMPERATURE

Skyrim

15E	DefaultWeather			TEMPERATE
81A	SkyrimClear			HOT
12F89	SkyrimCloudy			HOT
2E7AB	TESTCloudyRain			HOT
48C14	BlackreachWeather		TEMPERATE
4D7FB	SkyrimOvercastSnow		COLD
5ED7A	FXWthrInvertLightsSolitude	TEMPERATE
6ED5A	FXWthrInvertDayNight		TEMPERATE
6ED5B	FXWthrCaveBlueSkylight		TEMPERATE
7548F	FXWthrSunlight			TEMPERATE
75491	FXWthrSunlightWhite		TEMPERATE
75DE5	FXWthrCaveBluePaleLight		TEMPERATE
777CF	FXWthrInvertDayNighWarm		TEMPERATE
8277A	FXWthrInvertWindowsWhiterun	TEMPERATE
8282A	FXWthrInvertLightsWhiterun	TEMPERATE
923FD	SovngardeFog			TEMPERATE
A6858	WorldMapWeather			HOT
AEE84	FXWthrInvertWindowsWindhelm	COLD
C821E	SkyrimFog			COLD
C821F	SkyrimOvercastRain		COLD
C8220	SkyrimStormRain			COLD
C8221	SkyrimStormSnow			COLD
D299E	SkyrimOvercastWar		TEMPERATE
D4886	FXMagicStormRain		COLD
D9329	HelgenAttackWeather		HOT
ECC96	FXWthrInvertWindowsWindhelm2	COLD
101910	FXWthrInvertLightMarkarth	TEMPERATE
10199F	SkyrimMQ206weather		HOT
104AB4	SkuldafnCloudy			COLD
105941	BloatedMansGrottoFog		HOT
105942	SolitudeBluePalaceFogARENA	TEMPERATE
105943	SolitudeBluePalaceFogFEAR	TEMPERATE
105944	SolitudeBluePalaceFogNMARE	TEMPERATE
105945	SolitudeBluePalaceFog		TEMPERATE
105F40	SkyrimDA02Weather		TEMPERATE
106635	KarthspireRedoubtFog		TEMPERATE
10A230	SkyrimClearMA			HOT
10A231	SkyrimOvercastRainMA		TEMPERATE
10A232	SkyrimFogMA			TEMPERATE
10A233	SkyrimCloudyMA			HOT
10A234	SkyrimClearCO			COLD
10A235	SkyrimFogCO			COLD
10A236	SkyrimCloudyCO			COLD
10A237	SkyrimClearRE			HOT
10A238	SkyrimOvercastRainRE		TEMPERATE
10A239	SkyrimFogRE			TEMPERATE
10A23A	SkyrimCloudyRE			HOT
10A23B	SkyrimClearFF			HOT
10A23C	SkyrimStormRainFF		TEMPERATE
10A23D	SkyrimOvercastRainFF		TEMPERATE
10A23E	SkyrimFogFF			TEMPERATE
10A23F	SkyrimCloudyFF			HOT
10A240	SkyrimClearTU			HOT
10A241	SkyrimStormRainTU		TEMPERATE
10A242	SkyrimOvercastRainTU		TEMPERATE
10A243	SkyrimCloudyTU			HOT
10A244	SkyrimClearSN			TEMPERATE
10A245	SkyrimCloudySN			TEMPERATE
10A7A5	SkyrimClearVT			HOT
10A7A6	SkyrimOvercastRainVT		TEMPERATE
10A7A7	SkyrimFogVT			TEMPERATE
10A7A8	SkyrimCloudyVT			HOT
10C32F	FXSkyrimStormBlowingGrass	TEMPERATE
10D9EC	SovngardeClear			HOT
10DA13	FXWthrInvertWindowsWinterhold	COLD
10E1E3	SkyrimCloudyVT_A		HOT
10E1E4	SkyrimClearVT_A			HOT
10E1E5	SkyrimCloudyMA_A		HOT
10E1E6	SkyrimClearMA_A			HOT
10E1E7	SkyrimCloudyCO_A		COLD
10E1E8	SkyrimClearCO_A			COLD
10E1E9	SkyrimCloudyRE_A		HOT
10E1EA	SkyrimClearRE_A			HOT
10E1EB	SkyrimCloudyFF_A		HOT
10E1EC	SkyrimClearFF_A			HOT
10E1ED	SkyrimCloudyTU_A		HOT
10E1EE	SkyrimClearTU_A			HOT
10E1EF	SkyrimCloudySN_A		TEMPERATE
10E1F0	SkyrimClearSN_A			TEMPERATE
10E1F1	SkyrimCloudy_A			HOT
10E1F2	SkyrimClear_A			HOT
10E3D4	EditorCloudPreview		TEMPERATE
10FE7E	RiftenOvercastFog		TEMPERATE
10FEF8	SovngardeDark			COLD

Dawnguard

1407	SoulCairnAmb01			COLD
6AEC	DLC1Eclipse			TEMPERATE
959F	SoulCairnAurora			COLD
F89C	DLC1AurielsBowClearWeather	TEMPERATE
F89D	DLC1MagicAurielBowCloudyWeather	TEMPERATE
10E0B	DLC1_SkyrimCloudyFV_A		COLD
10E0E	DLC1_SkyrimCloudyFV		COLD
10E0F	DLC1_SkyrimClearFV		COLD
10E10	DLC1_SkyrimClearFV_A		COLD
14551	SoulCairnAmb01_Rain		COLD
18DBB	SoulCairnAmb02			COLD
18DBC	SoulCairnAmb03			COLD
18DBD	SoulCairnAmb04			COLD
19599	DLC1FalmerValley_bf		COLD
195A0	DLC1FalmerValley_bfDark		COLD

Dragonborn

18471	DLC02VolcanicAsh01		HOT
1D760	DLC02VolcanicAshTundra01	COLD
1DFF5	DLC2ApocryphaWeather		TEMPERATE
31AC0	DLC02VolcanicAsh02		HOT
32336	DLC02VolcanicAshStorm01		HOT
34CFB	DLC2ApocryphaWeatherNew		TEMPERATE
374B8	DLC02VolcanicAsh01_A		HOT
374B9	DLC02VolcanicAsh02_A		HOT
374BA	DLC02VolcanicAshTundra01_A	COLD

Wet and Cold - Ashes

5B29C	_WetAshFallLight		HOT
5B29D	_WetAshFallMed			HOT
5B2A0	_WetAshFallHeavy		HOT

Natural Lighting and Atmospherics

1760E	SkyrimClearTU_CM_NoClouds	HOT
1760F	SkyrimClear_CM_NoClouds		HOT
19BBE	SkyrimMarkarthClear		HOT
19BBF	SkyrimMarkarthCloudy		HOT
19BC0	SkyrimMarkarthClear_NoClouds	HOT
1BC0D	SkyrimClearMA_CM_NoClouds	HOT
1C6D2	SkyrimMarkarthFog		TEMPERATE
1CC35	SkyrimMarkarthOvercast		TEMPERATE
25D8D	SkyrimClearSN_CM_NoClouds	HOT
2E982	SkyrimClearCO_CM_NoClouds	HOT
2E983	SkyrimClearFF_CM_NoCoulds	HOT
3AB68	SkyrimClearRE_CM_NoClouds	HOT
4BDF7	SkyrimMist_CM			TEMPERATE
57500	SkyrimOvercast_CM		TEMPERATE
73963	SkyrimStormRainHeavy_CM		TEMPERATE
73964	SkyrimOvercastMarsh_CM		TEMPERATE
73EC8	SkyrimFogHeavy_CM		TEMPERATE
83665	SkyrimFogRain_CM		TEMPERATE
